Easting[m],Northing[m],Vp[km/s],ElevationReference[m],ElevationLidar[m]1,x[m],y[m],z[m],Vs[km/s],Vp/Vs
334175.507,4263440.918,3.416,504.680,1629.679,1375.000,2750.000,1125.000,2.030,1.683
333925.507,4262690.918,3.448,504.810,1629.814,1125.000,2000.000,1125.000,2.049,1.683
333425.507,4261315.918,3.317,504.820,1629.820,625.000,625.000,1125.000,1.971,1.683
337050.507,4264440.918,5.820,495.170,1745.171,4250.000,3750.000,1250.000,3.409,1.707
336175.507,4261315.918,5.820,495.160,1745.162,3375.000,625.000,1250.000,3.409,1.707
337550.507,4265440.918,5.820,495.090,1745.089,4750.000,4750.000,1250.000,3.409,1.707
333175.507,4261190.918,3.305,494.980,1619.984,375.000,500.000,1125.000,1.964,1.683
333800.507,4262940.918,3.528,494.950,1619.946,1000.000,2250.000,1125.000,2.096,1.683
337800.507,4265690.918,5.820,505.050,1755.054,5000.000,5000.000,1250.000,3.409,1.707
334800.507,4265565.918,3.378,494.930,1619.931,2000.000,4875.000,1125.000,2.007,1.683
333925.507,4262565.918,3.407,505.100,1630.099,1125.000,1875.000,1125.000,2.024,1.683
334550.507,4264440.918,3.422,505.100,1630.096,1750.000,3750.000,1125.000,2.033,1.683
333050.507,4261190.918,3.302,494.880,1619.875,250.000,500.000,1125.000,1.962,1.683
336800.507,4263190.918,5.820,494.860,1744.861,4000.000,2500.000,1250.000,3.409,1.707
334675.507,4263815.918,3.694,505.220,1630.220,1875.000,3125.000,1125.000,2.195,1.683
333675.507,4261815.918,3.564,505.250,1630.253,875.000,1125.000,1125.000,2.118,1.683
334675.507,4263690.918,3.661,505.260,1630.255,1875.000,3000.000,1125.000,2.175,1.683
333675.507,4262690.918,3.386,494.720,1619.724,875.000,2000.000,1125.000,2.012,1.683
334675.507,4264690.918,3.478,505.330,1630.326,1875.000,4000.000,1125.000,2.067,1.683
336300.507,4261815.918,5.820,494.650,1744.652,3500.000,1125.000,1250.000,3.409,1.707
334425.507,4264190.918,3.426,505.360,1630.364,1625.000,3500.000,1125.000,2.036,1.683
333800.507,4262190.918,3.336,505.440,1630.445,1000.000,1500.000,1125.000,1.982,1.683
334300.507,4264440.918,3.422,494.560,1619.559,1500.000,3750.000,1125.000,2.033,1.683
337550.507,4264815.918,5.820,505.460,1755.462,4750.000,4125.000,1250.000,3.409,1.707
336550.507,4262940.918,5.820,494.540,1744.537,3750.000,2250.000,1250.000,3.409,1.707
334050.507,4262940.918,3.474,505.470,1630.470,1250.000,2250.000,1125.000,2.064,1.683
336175.507,4261440.918,5.820,494.510,1744.510,3375.000,750.000,1250.000,3.409,1.707
337050.507,4263565.918,5.820,505.520,1755.519,4250.000,2875.000,1250.000,3.409,1.707
336425.507,4261440.918,5.820,505.520,1755.523,3625.000,750.000,1250.000,3.409,1.707
335050.507,4265565.918,3.612,505.570,1630.572,2250.000,4875.000,1125.000,2.146,1.683
336925.507,4263190.918,5.820,494.420,1744.418,4125.000,2500.000,1250.000,3.409,1.707
337300.507,4264815.918,5.820,494.360,1744.363,4500.000,4125.000,1250.000,3.409,1.707
333550.507,4262315.918,3.368,494.350,1619.351,750.000,1625.000,1125.000,2.001,1.683
333925.507,4262440.918,3.389,505.670,1630.673,1125.000,1750.000,1125.000,2.014,1.683
333925.507,4263565.918,3.379,494.210,1619.213,1125.000,2875.000,1125.000,2.008,1.683
337675.507,4265315.918,5.820,505.810,1755.809,4875.000,4625.000,1250.000,3.409,1.707
336550.507,4262190.918,5.820,505.830,1755.832,3750.000,1500.000,1250.000,3.409,1.707
333800.507,4263065.918,3.557,494.170,1619.172,1000.000,2375.000,1125.000,2.113,1.683
333300.507,4260940.918,3.311,505.920,1630.924,500.000,250.000,1125.000,1.967,1.683
337675.507,4265065.918,5.820,505.920,1755.925,4875.000,4375.000,1250.000,3.409,1.707
333550.507,4261565.918,3.317,505.980,1630.977,750.000,875.000,1125.000,1.971,1.683
336925.507,4263815.918,5.820,506.020,1756.021,4125.000,3125.000,1250.000,3.409,1.707
334175.507,4263315.918,3.457,506.060,1631.060,1375.000,2625.000,1125.000,2.054,1.683
337050.507,4264065.918,5.820,506.110,1756.109,4250.000,3375.000,1250.000,3.409,1.707
332925.507,4260815.918,3.301,493.870,1618.871,125.000,125.000,1125.000,1.961,1.683
334175.507,4263190.918,3.482,506.160,1631.156,1375.000,2500.000,1125.000,2.069,1.683
334050.507,4262815.918,3.459,506.180,1631.178,1250.000,2125.000,1125.000,2.055,1.683
333300.507,4261815.918,3.307,493.810,1618.815,500.000,1125.000,1125.000,1.965,1.683
336925.507,4263565.918,5.820,493.790,1743.794,4125.000,2875.000,1250.000,3.409,1.707
334425.507,4264815.918,3.393,493.710,1618.707,1625.000,4125.000,1125.000,2.016,1.683
337425.507,4263440.918,5.820,506.300,1756.299,4625.000,2750.000,1250.000,3.409,1.707
334675.507,4265315.918,3.363,493.680,1618.683,1875.000,4625.000,1125.000,1.998,1.683
337425.507,4264565.918,5.820,506.330,1756.331,4625.000,3875.000,1250.000,3.409,1.707
333675.507,4262815.918,3.434,493.670,1618.674,875.000,2125.000,1125.000,2.040,1.683
334800.507,4264940.918,3.390,506.360,1631.358,2000.000,4250.000,1125.000,2.014,1.683
337550.507,4264940.918,5.820,506.430,1756.430,4750.000,4250.000,1250.000,3.409,1.707
336675.507,4262690.918,5.820,506.460,1756.455,3875.000,2000.000,1250.000,3.409,1.707
337175.507,4264565.918,5.820,493.540,1743.540,4375.000,3875.000,1250.000,3.409,1.707
333300.507,4260815.918,3.309,506.470,1631.471,500.000,125.000,1125.000,1.966,1.683
336300.507,4261940.918,5.820,493.460,1743.458,3500.000,1250.000,1250.000,3.409,1.707
333800.507,4263190.918,3.534,493.450,1618.453,1000.000,2500.000,1125.000,2.100,1.683
335050.507,4265440.918,3.612,506.580,1631.583,2250.000,4750.000,1125.000,2.146,1.683
337425.507,4264440.918,5.820,506.610,1756.612,4625.000,3750.000,1250.000,3.409,1.707
336925.507,4263690.918,5.820,506.670,1756.673,4125.000,3000.000,1250.000,3.409,1.707
336425.507,4262565.918,5.820,493.310,1743.309,3625.000,1875.000,1250.000,3.409,1.707
333550.507,4261065.918,3.337,506.700,1631.702,750.000,375.000,1125.000,1.983,1.683
336800.507,4264065.918,5.820,493.290,1743.293,4000.000,3375.000,1250.000,3.409,1.707
333175.507,4261565.918,3.302,493.290,1618.294,375.000,875.000,1125.000,1.962,1.683
334800.507,4265690.918,3.378,493.220,1618.221,2000.000,5000.000,1125.000,2.007,1.683
334550.507,4264315.918,3.396,506.840,1631.844,1750.000,3625.000,1125.000,2.018,1.683
333550.507,4261440.918,3.322,506.850,1631.854,750.000,750.000,1125.000,1.974,1.683
336675.507,4263815.918,5.820,493.130,1743.133,3875.000,3125.000,1250.000,3.409,1.707
333800.507,4263315.918,3.481,493.110,1618.110,1000.000,2625.000,1125.000,2.068,1.683
334925.507,4265190.918,3.403,506.910,1631.907,2125.000,4500.000,1125.000,2.022,1.683
334300.507,4263690.918,3.381,506.990,1631.995,1500.000,3000.000,1125.000,2.009,1.683
333675.507,4261690.918,3.532,507.010,1632.007,875.000,1000.000,1125.000,2.099,1.683
334550.507,4265065.918,3.357,492.880,1617.877,1750.000,4375.000,1125.000,1.995,1.683
333425.507,4262065.918,3.389,492.810,1617.811,625.000,1375.000,1125.000,2.014,1.683
336425.507,4261315.918,5.820,507.200,1757.199,3625.000,625.000,1250.000,3.409,1.707
337425.507,4265190.918,5.820,492.750,1742.751,4625.000,4500.000,1250.000,3.409,1.707
333550.507,4262440.918,3.376,492.720,1617.720,750.000,1750.000,1125.000,2.006,1.683
336425.507,4260690.918,5.820,507.290,1757.290,3625.000,0.000,1250.000,3.409,1.707
334300.507,4264565.918,3.425,492.620,1617.616,1500.000,3875.000,1125.000,2.035,1.683
334300.507,4263565.918,3.409,507.430,1632.433,1500.000,2875.000,1125.000,2.026,1.683
336425.507,4260815.918,5.820,507.470,1757.467,3625.000,125.000,1250.000,3.409,1.707
334675.507,4265440.918,3.363,492.470,1617.471,1875.000,4750.000,1125.000,1.998,1.683
336675.507,4262565.918,5.820,507.550,1757.549,3875.000,1875.000,1250.000,3.409,1.707
337550.507,4265565.918,5.820,492.440,1742.441,4750.000,4875.000,1250.000,3.409,1.707
333800.507,4262065.918,3.730,507.590,1632.594,1000.000,1375.000,1125.000,2.216,1.683
334300.507,4263940.918,3.494,492.400,1617.399,1500.000,3250.000,1125.000,2.076,1.683
332925.507,4260940.918,3.301,492.390,1617.387,125.000,250.000,1125.000,1.961,1.683
335175.507,4265690.918,4.357,507.650,1632.653,2375.000,5000.000,1125.000,2.589,1.683
336550.507,4262065.918,5.820,507.650,1757.651,3750.000,1375.000,1250.000,3.409,1.707
334175.507,4263065.918,3.488,507.690,1632.688,1375.000,2375.000,1125.000,2.072,1.683
336925.507,4264315.918,5.820,492.280,1742.283,4125.000,3625.000,1250.000,3.409,1.707
334550.507,4263940.918,3.593,507.760,1632.764,1750.000,3250.000,1125.000,2.135,1.683
332800.507,4260690.918,3.301,492.220,1617.221,0.000,0.000,1125.000,1.961,1.683
336550.507,4263065.918,5.820,492.210,1742.212,3750.000,2375.000,1250.000,3.409,1.707
336425.507,4262690.918,5.820,492.110,1742.111,3625.000,2000.000,1250.000,3.409,1.707
336925.507,4263065.918,5.820,507.910,1757.914,4125.000,2375.000,1250.000,3.409,1.707
336425.507,4261190.918,5.820,507.960,1757.965,3625.000,500.000,1250.000,3.409,1.707
336050.507,4260940.918,5.820,492.030,1742.033,3250.000,250.000,1250.000,3.409,1.707
333550.507,4262565.918,3.384,491.990,1616.985,750.000,1875.000,1125.000,2.011,1.683
336800.507,4262940.918,5.820,508.010,1758.015,4000.000,2250.000,1250.000,3.409,1.707
333925.507,4262315.918,3.376,508.050,1633.055,1125.000,1625.000,1125.000,2.006,1.683
333800.507,4263440.918,3.435,491.920,1616.920,1000.000,2750.000,1125.000,2.041,1.683
333925.507,4263815.918,3.409,491.910,1616.910,1125.000,3125.000,1125.000,2.026,1.683
334675.507,4264565.918,3.521,508.110,1633.111,1875.000,3875.000,1125.000,2.092,1.683
337675.507,4265190.918,5.820,508.180,1758.182,4875.000,4500.000,1250.000,3.409,1.707
334800.507,4263690.918,3.646,508.220,1633.225,2000.000,3000.000,1125.000,2.166,1.683
333300.507,4261940.918,3.317,491.760,1616.758,500.000,1250.000,1125.000,1.971,1.683
333300.507,4260690.918,3.307,508.290,1633.295,500.000,0.000,1125.000,1.965,1.683
336300.507,4262065.918,5.820,491.700,1741.698,3500.000,1375.000,1250.000,3.409,1.707
333175.507,4261315.918,3.304,491.690,1616.686,375.000,625.000,1125.000,1.963,1.683
337050.507,4263940.918,5.820,508.340,1758.343,4250.000,3250.000,1250.000,3.409,1.707
