Northing_m,Easting_m,Elevation_m,Resistivity_ohmm
4251585.0,333060.5,504.986,254.54
4251585.0,346216.9,366.2221,1516.05
4251607.0,347149.6,546.7642,677.27
4251609.0,330917.8,421.2064,30.43
4251609.0,334873.6,596.3006,434.62
4251625.0,336618.6,446.1935,4211.21
4251627.0,343916.4,349.4239,2709.41
4251628.0,339816.9,455.3713,8695.16
4251630.0,328433.4,564.9384,3.18
4251639.0,332911.9,492.3363,221.45
4251665.0,341171.5,564.8364,1909.02
4251667.0,334713.9,587.95,474.76
4251669.0,342543.1,599.9646,984.82
4251688.0,330701.7,415.2427,18.95
4251695.0,344874.1,553.8443,1701.2
4251701.0,325608.3,531.3655,14.18
4251703.0,332736.9,481.4196,190.99
4251709.0,328217.3,560.4045,3.51
4251710.0,338060.7,588.4804,18575.37
4251714.0,336375.8,430.8877,2608.35
4251725.0,334554.1,579.9598,530.31
4251730.0,345817.5,478.5549,1744.72
4251753.0,346750.2,576.5134,718.26
4251766.0,330485.6,409.0573,12.48
4251773.0,339417.5,394.6946,12334.67
4251773.0,343517.0,418.1583,2716.88
4251776.0,332534.8,470.7816,162.04
4251779.0,334404.8,575.1683,584.68
4251787.0,328001.1,555.894,2.85
4251794.0,336156.1,421.1168,1719.92
4251810.0,340772.1,589.3484,2989.75
4251815.0,342143.7,526.6354,820.18
4251826.0,334275.4,569.2027,623.5
4251834.0,325241.4,529.8039,17.82
4251835.0,337717.3,537.5145,15992.91
4251840.0,344474.7,620.5121,1651.11
4251845.0,330269.5,402.8586,9.1
4251855.0,332318.7,462.8436,132.04
4251864.0,335964.0,403.2283,1230.03
4251866.0,327785.0,551.6087,1.89
4251866.0,334165.5,562.5854,644.31
4251876.0,345418.2,571.0004,1796.05
4251898.0,334079.7,556.5644,649.76
4251898.0,346350.8,638.9065,810.38
4251918.0,339018.1,630.4388,10868.05
4251918.0,343117.6,355.2283,2034.47
4251920.0,334017.8,553.1462,647.55
4251924.0,330053.3,599.5844,6.07
4251926.0,347267.7,551.9337,508.96
4251928.0,335787.9,387.3543,935.95
4251933.0,332102.5,456.7453,100.4
4251936.0,333973.0,549.285,642.59
4251947.0,327563.5,548.6123,1.28
4251948.0,333940.7,545.4982,637.29
4251949.0,337403.4,495.9511,11661.03
4251955.0,340372.7,532.6913,4855.43
4251957.0,333917.5,544.1317,632.62
4251960.0,341744.4,560.7091,958.37
4251963.0,333901.2,543.4967,628.9
4251967.0,333888.4,542.9934,625.76
4251968.0,324874.0,531.3227,19.4
4251972.0,333876.5,542.6239,622.66
4251976.0,333864.8,542.3192,619.42
4251980.0,333853.0,541.8648,616.0
4251984.0,333841.3,541.2471,612.42
4251986.0,344075.3,379.5341,2804.78
4251987.0,335624.2,380.3511,752.68
4251990.0,333826.2,540.2387,607.62
4251998.0,333804.1,538.3908,600.07
4252002.0,329837.2,593.058,5.99
4252009.0,333772.7,535.4022,588.48
4252012.0,331886.4,447.6076,69.42
4252021.0,345018.8,591.0638,1667.48
4252025.0,333729.0,533.5824,570.69
4252033.0,327325.2,544.9971,1.07
4252044.0,345951.5,466.2214,1091.24
4252045.0,335464.4,616.6228,396.64
4252047.0,333668.4,533.7033,543.47
4252053.0,337117.8,467.2069,7543.65
4252063.0,338620.4,603.0615,13275.01
4252064.0,342718.3,577.3225,1250.24
4252072.0,346868.3,576.867,408.67
4252078.0,333584.7,528.2282,501.94
4252081.0,329621.1,586.1647,6.71
4252091.0,331670.3,439.8479,43.7
4252101.0,339973.4,456.9046,7449.01
4252102.0,324506.6,540.1005,18.49
4252104.0,335304.7,607.5495,355.82
4252105.0,341345.0,583.0322,1482.97
4252120.0,333468.5,517.0329,440.74
4252128.0,327065.3,541.1178,1.27
4252131.0,343676.0,407.5132,2988.56
4252147.0,336859.4,446.7379,4596.97
4252160.0,329404.9,582.5791,8.28
4252162.0,335144.9,598.1165,338.07
4252167.0,344619.4,649.0684,1680.41
4252169.0,331454.1,434.1867,25.89
4252174.0,333319.9,504.3771,363.1
4252189.0,345552.1,559.3652,1410.08
4252201.0,338242.6,578.6164,14669.1
4252209.0,342318.9,489.6621,955.75
4252217.0,346468.9,625.0004,523.34
4252220.0,334985.2,588.188,339.81
4252232.0,326778.9,539.0945,2.1
4252236.0,336616.6,429.5725,2736.24
4252238.0,329188.8,577.3182,10.86
4252238.0,333144.9,492.2205,282.43
4252239.0,324128.9,546.9723,17.13
4252246.0,339574.0,401.0313,8932.62
4252248.0,331238.0,427.2431,15.36
4252251.0,340945.6,525.6455,2455.98
4252276.0,343276.6,326.8514,2440.98
4252278.0,334825.4,579.6236,357.57
4252311.0,332942.8,480.6928,209.26
4252312.0,344220.1,381.4184,2863.22
4252316.0,336397.0,415.0585,1700.17
4252317.0,328972.7,572.0556,13.92
4252326.0,337899.1,531.5373,14349.48
4252327.0,331021.9,420.5981,9.99
4252332.0,334676.1,573.5012,386.01
4252334.0,345152.7,568.6169,1588.53
4252348.0,326461.2,535.3509,4.22
4252354.0,341919.5,562.8882,959.95
4252362.0,346069.5,445.1064,917.99
4252379.0,334546.7,567.0957,416.46
4252383.0,323733.9,553.2071,20.28
4252386.0,336204.9,401.3223,1146.82
4252390.0,332726.7,471.824,151.61
4252391.0,339174.6,634.3259,6924.52
4252394.0,346974.7,585.2179,316.52
4252396.0,328756.5,566.6097,15.26
4252396.0,340546.3,442.3945,4010.78
4252405.0,330805.8,415.4005,7.84
4252419.0,334436.8,559.1661,443.37
4252422.0,342877.2,569.7517,1662.86
4252440.0,337585.2,491.1832,11798.34
4252450.0,336028.7,390.1589,827.94
4252451.0,334351.0,550.0336,463.27
4252457.0,343820.7,396.4743,3224.24
4252469.0,332510.5,466.2617,108.02
4252473.0,334289.1,544.0,476.04
4252474.0,328540.4,562.2784,13.1
4252475.0,326111.6,530.7289,8.71
4252480.0,344753.4,612.3257,1748.73
4252484.0,330589.6,410.565,7.71
4252489.0,334244.3,538.7046,484.06
4252500.0,341520.2,651.009,1309.99
4252501.0,334212.0,535.2358,489.07
4252508.0,345670.2,510.6987,1368.15
4252509.0,335865.0,384.3588,635.98
4252510.0,334188.8,534.27,492.2
4252516.0,334172.4,534.241,494.16
4252520.0,334159.7,534.3707,495.54
4252525.0,334147.8,535.0939,496.7
4252529.0,334136.1,536.5353,497.72
4252533.0,334124.3,537.8866,498.6
4252536.0,338776.9,613.5844,9098.66
