easting,northing,gCBGA
331944,4236052,-194.52200000000
357057,4235589,-229.19500000000
304293,4236747,-199.52300000000
299044,4236931,-201.00100000000
343424,4235952,-218.96600000000
342782,4235983,-216.04300000000
305199,4236818,-200.69000000000
305199,4236818,-200.68000000000
343322,4235991,-221.47200000000
343337,4235991,-221.46200000000
344475,4235969,-223.06400000000
344635,4235966,-223.14400000000
344650,4235965,-223.14400000000
356301,4235750,-229.43600000000
356301,4235750,-229.45600000000
317626,4236547,-201.99900000000
343395,4236008,-218.54000000000
305216,4236873,-200.31400000000
343791,4236074,-222.95800000000
302345,4237035,-202.27000000000
353944,4236014,-239.39300000000
332827,4236441,-190.92900000000
335526,4236442,-194.30700000000
329140,4236592,-197.46900000000
300949,4237255,-201.50000000000
329184,4236647,-197.40200000000
329184,4236647,-197.40200000000
324897,4236757,-201.37300000000
325757,4236738,-201.58600000000
326982,4236712,-201.06900000000
297773,4237463,-202.23300000000
326998,4236786,-200.83800000000
347560,4236372,-234.00700000000
290977,4237673,-203.27300000000
290977,4237673,-203.29300000000
337499,4236623,-199.63800000000
306948,4237313,-203.10500000000
334132,4236729,-192.23900000000
347270,4236470,-234.05200000000
347285,4236470,-234.04200000000
332003,4236810,-194.18200000000
334876,4236788,-193.75900000000
337925,4236763,-200.16100000000
289350,4237937,-204.86400000000
289365,4237936,-204.85400000000
308921,4237451,-201.41000000000
314915,4237312,-195.61500000000
318414,4237232,-202.49900000000
320005,4237197,-204.76500000000
303832,4237591,-198.52900000000
308922,4237470,-201.42500000000
314901,4237331,-195.60000000000
318401,4237251,-202.50400000000
320005,4237216,-204.79000000000
330635,4236986,-192.99100000000
330650,4236986,-192.36100000000
310264,4237457,-196.23700000000
310279,4237456,-196.26700000000
316067,4237323,-197.43200000000
316067,4237323,-197.44200000000
308004,4237529,-203.54400000000
313677,4237396,-196.85000000000
313691,4237396,-196.84000000000
317672,4237305,-201.28300000000
317672,4237305,-201.29300000000
319291,4237269,-203.91700000000
307975,4237547,-203.61100000000
307990,4237547,-203.53900000000
308413,4237537,-203.05200000000
308982,4237524,-201.16800000000
310308,4237492,-195.89600000000
311212,4237471,-195.34000000000
312817,4237434,-197.09000000000
313662,4237415,-196.45400000000
314902,4237386,-195.36300000000
316024,4237361,-197.36100000000
316039,4237360,-197.16100000000
317672,4237323,-200.93900000000
318460,4237306,-202.40700000000
319262,4237288,-203.64200000000
319277,4237287,-204.04200000000
335405,4236943,-193.89400000000
320079,4237288,-204.52800000000
320881,4237270,-204.36500000000
320911,4237270,-204.79500000000
320911,4237270,-204.78500000000
322514,4237234,-202.16300000000
324163,4237198,-201.13900000000
324541,4237190,-201.09100000000
323215,4237238,-202.61400000000
323229,4237237,-202.64400000000
324163,4237217,-201.55400000000
324163,4237217,-201.58400000000
328610,4237122,-197.41400000000
338614,4236934,-204.99400000000
287458,4238134,-205.88800000000
287458,4238134,-205.84800000000
353650,4236686,-241.16200000000
333950,4237103,-192.64300000000
299156,4237910,-199.60100000000
358637,4236671,-223.55300000000
360299,4236642,-221.94700000000
332144,4237269,-192.24900000000
332144,4237288,-191.93300000000
302836,4238041,-197.07700000000
315246,4237785,-194.82700000000
343316,4237193,-217.61500000000
314984,4237810,-194.57200000000
308001,4238028,-202.96900000000
355508,4237059,-235.21200000000
300932,4238310,-199.36100000000
334907,4237545,-193.13700000000
336424,4237552,-197.63000000000
291295,4238645,-204.85600000000
291310,4238645,-204.87600000000
331147,4237716,-192.07200000000
335259,4237668,-194.06700000000
303195,4238403,-197.33600000000
348747,4237423,-236.75200000000
347012,4237474,-231.20500000000
325784,4238015,-201.30600000000
352759,4237479,-242.24800000000
356477,4237412,-229.82100000000
350266,4237561,-240.52000000000
353416,4237504,-242.87200000000
353665,4237518,-242.08800000000
350500,4237594,-239.57000000000
351725,4237571,-242.16500000000
356566,4237484,-230.09800000000
328587,4238047,-197.13200000000
356581,4237502,-230.21100000000
354468,4237614,-240.46400000000
356495,4237578,-230.02300000000
355299,4237618,-237.49900000000
356480,4237597,-230.03800000000
346581,4237815,-227.35800000000
298611,4238886,-197.98300000000
304094,4238769,-196.71400000000
307346,4238710,-201.89600000000
332177,4238157,-191.95900000000
346494,4237873,-227.52000000000
356499,4237800,-231.19500000000
358220,4237788,-225.73700000000
358876,4237795,-225.44900000000
332443,4238318,-192.47700000000
334353,4238297,-194.30500000000
354473,4237910,-240.68500000000
346237,4238081,-227.63700000000
355291,4237932,-237.43600000000
301665,4239088,-195.61800000000
333319,4238374,-192.15000000000
342826,4238239,-213.47200000000
337899,4238373,-199.97900000000
359929,4237999,-223.07300000000
345992,4238271,-226.48400000000
328351,4238644,-197.26500000000
330771,4238593,-190.71800000000
299877,4239335,-195.44200000000
299877,4239335,-195.47200000000
299920,4239334,-195.47200000000
308392,4239129,-200.02500000000
315827,4238957,-195.18300000000
319327,4238878,-200.47300000000
320042,4238862,-201.89100000000
320916,4238842,-203.13800000000
322519,4238807,-203.17000000000
299877,4239354,-194.98600000000
299921,4239353,-195.48600000000
303099,4239275,-194.76600000000
304806,4239233,-195.79500000000
308378,4239148,-200.06900000000
313714,4239023,-193.72100000000
314443,4239007,-192.30100000000
315814,4238975,-195.18700000000
319313,4238896,-200.28800000000
320042,4238880,-201.91600000000
320916,4238861,-203.19200000000
322520,4238825,-203.13400000000
