longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
26.265,-26.295,1515.5,1542.767011919691,978593.71,23.152214536559768,-148.7845795967439
26.27667,-26.50833,1482.8,1510.8443384393602,978636.99,41.243338791653514,-124.01934605488015
26.28667,-26.96167,1424.3,1453.443964571089,978682.78,36.43807615560945,-122.4322371680276
26.28667,-26.39833,1480.1,1507.729680645886,978626.4,37.614076709374785,-129.6954040706203
26.28667,-26.11,1514.2,1540.94177373943,978576.31,18.422658696305007,-153.40732913048004
26.31833,-26.935,1463.9,1492.9879695128413,978671.18,38.981969359098,-126.62168808070916
26.31833,-26.78,1534.0,1562.7538437826097,978644.79,45.39321398641914,-128.94480236809693
26.325,-26.32668,1481.3,1508.6462202191285,978613.3,29.94414950942155,-137.40234213818877
26.32668,-26.59332,1543.8,1572.1025752531293,978633.3,50.31329324678518,-124.6614842080485
26.34332,-26.08,1520.6,1547.2454827104511,978570.11,16.30689743673429,-156.21808901524705
26.36333,-26.66167,1518.5,1546.9421912587998,978647.49,51.797378714894876,-118.98961866500477
26.37666,-26.05667,1517.6,1544.1877569279643,978569.31,16.226467813947238,-155.0206220807786
26.405,-26.345,1435.6,1463.0139171712879,978632.1,33.352433752967045,-128.98410188984076
26.42168,-26.75833,1460.3,1488.9054525230129,978653.29,32.68678138591349,-132.0623636296786
26.46001,-26.78,1431.9,1460.505723045258,978653.79,22.852617983473465,-139.7863805018236
26.47,-26.00833,1523.7,1550.1854496313738,978586.11,38.31852674274705,-133.88783895337448
26.48666,-26.33,1436.8,1464.143308039575,978629.7,32.37770748010371,-130.56160212816167
26.51167,-26.89667,1385.6,1414.404515486757,978686.88,33.23441995540634,-123.12347287317107
26.52333,-26.81332,1371.6,1400.1906455019625,978675.28,23.315290345344692,-130.57910614957362
26.57333,-26.32832,1457.2,1484.5038139495023,978618.1,27.179086301475763,-137.87796254614028
26.59167,-26.68167,1346.9,1375.0737714302415,978665.89,15.7309820902301,-136.63658853264286
26.60001,-26.72501,1336.2,1364.4690904182266,978669.68,13.107901969458908,-137.31674914682995
26.605,-26.87334,1335.9,1364.5222015167164,978694.28,26.945421684882604,-124.24137229110113
26.60834,-26.62,1353.9,1381.9069226071365,978659.29,15.703151614987291,-137.13660205349916
26.61166,-26.78168,1318.5,1346.8953360485195,978685.18,19.073287072242238,-127.80959428409341
26.63,-26.55833,1353.9,1381.7328320648558,978653.29,14.106442579184659,-138.68124555511272
26.64166,-26.075,1501.4,1528.2335283280024,978607.4,48.08869986969512,-121.0700993824201
26.65668,-26.96001,1293.9,1322.6781473075646,978710.57,24.00952707079705,-123.37319469791112
26.65833,-26.48833,1358.2,1385.83267919394,978643.99,11.121471401420422,-142.08379321363554
26.66333,-26.345,1503.9,1531.2020041014523,978607.1,29.386817268677987,-138.62054827860868
26.66333,-26.87334,1307.9,1336.4711841291323,978699.68,23.691852309624664,-124.68073658718842
26.66667,-26.87,1317.6,1346.161493626522,978695.08,22.324432889465243,-127.64810697067202
26.66667,-26.88834,1314.6,1343.204685558195,978697.88,22.87678832130041,-126.33480652937826
26.66833,-26.93333,1291.1,1319.8099630661447,978706.47,20.970849182340316,-123.63183690498823
26.67,-26.87,1317.6,1346.1598293392053,978694.98,22.223919455776922,-127.74483575237613
26.675,-26.99167,1294.2,1323.0497219293052,978712.07,23.31302170548588,-123.04471920152432
26.71001,-26.11501,1504.8,1531.7175105119913,978603.2,42.10973020968959,-128.19377006862436
26.71333,-26.435,1370.4,1397.8664648695124,978633.5,8.185092444298789,-146.5346534826168
26.73167,-26.34167,1469.7,1496.9474240070242,978614.2,26.159293100005016,-139.21594515072547
26.73666,-26.84167,1351.5,1379.9936590675225,978686.78,26.523096223943867,-126.52642702137669
26.755,-26.17833,1545.9,1572.8875891911093,978586.01,33.09682815114502,-139.8064141892207
26.76833,-26.21001,1516.4,1543.421106339799,978591.51,27.24172087176703,-144.12472639806842
26.77,-26.38499,1421.0,1448.3119383555152,978620.2,14.044075911166146,-146.3351745226202
26.79167,-26.34167,1447.2,1474.4072665221358,978614.7,19.70615924091544,-144.05399816499633
26.825,-26.32001,1471.0,1498.1513037320915,978608.6,22.485400766134262,-143.7828547627768
